Country Name,Country Code,Population (2024),Country Numeric
Aruba,ABW,107624,533
Africa Eastern and Southern,AFE,769294618,
Afghanistan,AFG,42647492,4
Africa Western and Central,AFW,521764076,
Angola,AGO,37885849,24
Albania,ALB,2714617,8
Andorra,AND,81938,20
Arab World,ARB,492579811,
United Arab Emirates,ARE,10876981,784
Argentina,ARG,45696159,32
Armenia,ARM,3033500,51
American Samoa,ASM,46765,16
Antigua and Barbuda,ATG,93772,28
Australia,AUS,27204809,36
Austria,AUT,9178482,40
Azerbaijan,AZE,10202850,31
Burundi,BDI,14047786,108
Belgium,BEL,11876844,56
Benin,BEN,14462724,204
Burkina Faso,BFA,23548781,854
Bangladesh,BGD,173562364,50
Bulgaria,BGR,6444366,100
Bahrain,BHR,1588670,48
"Bahamas, The",BHS,401283,44
Bosnia and Herzegovina,BIH,3164253,70
Belarus,BLR,9133712,112
Belize,BLZ,417072,84
Bermuda,BMU,64636,60
Bolivia,BOL,12413315,68
Brazil,BRA,211998573,76
Barbados,BRB,282467,52
Brunei Darussalam,BRN,462721,96
Bhutan,BTN,791524,64
Botswana,BWA,2521139,72
Central African Republic,CAF,5330690,140
Canada,CAN,41288599,124
Central Europe and the Baltics,CEB,100050066,
Switzerland,CHE,9034102,756
Channel Islands,CHI,168126,
Chile,CHL,19764771,152
China,CHN,1408975000,156
Cote d'Ivoire,CIV,31934230,384
Cameroon,CMR,29123744,120
"Congo, Dem. Rep.",COD,109276265,180
"Congo, Rep.",COG,6332961,178
Colombia,COL,52886363,170
Comoros,COM,866628,174
Cabo Verde,CPV,524877,132
Costa Rica,CRI,5129910,188
Caribbean small states,CSS,4539060,
Cuba,CUB,10979783,192
Curacao,CUW,155900,531
Cayman Islands,CYM,74457,136
Cyprus,CYP,1358282,196
Czechia,CZE,10882164,203
Germany,DEU,83510950,276
Djibouti,DJI,1168722,262
Dominica,DMA,66205,212
Denmark,DNK,5976992,208
Dominican Republic,DOM,11427557,214
Algeria,DZA,46814308,12
East Asia & Pacific (excluding high income),EAP,2141122258,
Early-demographic dividend,EAR,3552278604,
East Asia & Pacific,EAS,2388378491,
Europe & Central Asia (excluding high income),ECA,250485944,
Europe & Central Asia,ECS,928465742,
Ecuador,ECU,18135478,218
"Egypt, Arab Rep.",EGY,116538258,818
Euro area,EMU,351125804,
Eritrea,ERI,3535603,232
Spain,ESP,48807137,724
Estonia,EST,1371986,233
Ethiopia,ETH,132059767,231
European Union,EUU,450185396,
Fragile and conflict affected situations,FCS,1083294896,
Finland,FIN,5637214,246
Fiji,FJI,928784,242
France,FRA,68516699,250
Faroe Islands,FRO,54719,234
"Micronesia, Fed. Sts.",FSM,113160,583
Gabon,GAB,2538952,266
United Kingdom,GBR,69226000,826
Georgia,GEO,3673850,268
Ghana,GHA,34427414,288
Gibraltar,GIB,39329,292
Guinea,GIN,14754785,324
"Gambia, The",GMB,2759988,270
Guinea-Bissau,GNB,2201352,624
Equatorial Guinea,GNQ,1892516,226
Greece,GRC,10388805,300
Grenada,GRD,117207,308
Greenland,GRL,56836,304
Guatemala,GTM,18406359,320
Guam,GUM,167777,316
Guyana,GUY,831087,328
High income,HIC,1417871275,
"Hong Kong SAR, China",HKG,7524100,344
Honduras,HND,10825703,340
Heavily indebted poor countries (HIPC),HPC,941413026,
Croatia,HRV,3866300,191
Haiti,HTI,11772557,332
Hungary,HUN,9562314,348
IBRD only,IBD,4979720059,
IDA & IBRD total,IBT,6926456321,
IDA total,IDA,1946736262,
IDA blend,IDB,676957651,
Indonesia,IDN,283487931,360
IDA only,IDX,1269778611,
Isle of Man,IMN,84160,833
India,IND,1450935791,356
Ireland,IRL,5380257,372
"Iran, Islamic Rep.",IRN,91567738,364
Iraq,IRQ,46042015,368
Iceland,ISL,404610,352
Israel,ISR,9974400,376
Italy,ITA,58986023,380
Jamaica,JAM,2839175,388
Jordan,JOR,11552876,400
Japan,JPN,123975371,392
Kazakhstan,KAZ,20592571,398
Kenya,KEN,56432944,404
Kyrgyz Republic,KGZ,7224614,417
Cambodia,KHM,17638801,116
Kiribati,KIR,134518,296
